period,NG_Power_Gen,NG_Seasonal_Power_Gen,NG_Commercial_Usage,NG_Vehicle_Fuel_Usage,NG_Delivery_Usage,NG_Industrial_Usage,NG_Residential_Usage,Heating_Days,Cooling_Days,NG_Gross_Withdrawls,EAST_NG_Storage_BCF
2021-04-30,540.2622222222222,-4.2762363957748235,134.77777777777777,2.657777777777778,969.0222222222222,115.36,175.96444444444444,153.14285714285714,26.857142857142858,4579.542222222222,332
2021-05-07,617.939646201873,-2.562769814455681,98.75130072840791,2.5681581685744015,924.4953173777316,101.08636836628511,104.14984391259104,140.0,30.857142857142858,4425.29448491155,347
2021-05-14,617.939646201873,-0.849303233136535,98.75130072840791,2.5681581685744015,924.4953173777316,101.08636836628511,104.14984391259104,186.57142857142858,14.285714285714286,4425.29448491155,358
2021-05-21,617.939646201873,2.8794731936734754,98.75130072840791,2.5681581685744015,924.4953173777316,101.08636836628511,104.14984391259104,49.714285714285715,31.285714285714285,4425.29448491155,385
2021-05-28,617.939646201873,6.392951437700095,98.75130072840791,2.5681581685744015,924.4953173777316,101.08636836628511,104.14984391259104,28.285714285714285,104.85714285714286,4425.29448491155,413
2021-06-04,751.5244444444445,10.419641001611302,91.38222222222223,2.657777777777778,1026.7822222222223,107.82666666666667,73.3911111111111,93.28571428571429,44.857142857142854,4583.942222222222,445
2021-06-11,751.5244444444445,14.446330565522505,91.38222222222223,2.657777777777778,1026.7822222222223,107.82666666666667,73.3911111111111,7.0,181.14285714285714,4583.942222222222,461
2021-06-18,751.5244444444445,17.456078694569374,91.38222222222223,2.657777777777778,1026.7822222222223,107.82666666666667,73.3911111111111,16.142857142857142,83.85714285714286,4583.942222222222,488
2021-06-25,751.5244444444445,19.98954032444014,91.38222222222223,2.657777777777778,1026.7822222222223,107.82666666666667,73.3911111111111,15.0,112.42857142857143,4583.942222222222,513
2021-07-02,781.3069719042664,22.523001954310892,84.15400624349635,2.5681581685744015,1032.2872008324662,110.38501560874089,53.86888657648283,2.142857142857143,212.0,4408.840790842873,521
2021-07-09,781.3069719042664,25.05646358418165,84.15400624349635,2.5681581685744015,1032.2872008324662,110.38501560874089,53.86888657648283,12.857142857142858,144.85714285714286,4408.840790842873,543
2021-07-16,781.3069719042664,26.623330087079562,84.15400624349635,2.5681581685744015,1032.2872008324662,110.38501560874089,53.86888657648283,0.42857142857142855,185.57142857142858,4408.840790842873,562
2021-07-23,781.3069719042664,26.251364038785688,84.15400624349635,2.5681581685744015,1032.2872008324662,110.38501560874089,53.86888657648283,0.5714285714285714,158.28571428571428,4408.840790842873,583
2021-07-30,781.3069719042664,25.879397990491807,84.15400624349635,2.5681581685744015,1032.2872008324662,110.38501560874089,53.86888657648283,2.7142857142857144,174.0,4408.840790842873,604
2021-08-06,826.3017689906347,25.507431942197936,81.02809573361081,2.5681581685744015,1074.5306971904267,114.87200832466182,49.76066597294484,6.285714285714286,102.42857142857143,4499.37981269511,629
2021-08-13,826.3017689906347,25.135465893904065,81.02809573361081,2.5681581685744015,1074.5306971904267,114.87200832466182,49.76066597294484,0.0,226.28571428571428,4499.37981269511,645
2021-08-20,826.3017689906347,23.477990195430227,81.02809573361081,2.5681581685744015,1074.5306971904267,114.87200832466182,49.76066597294484,1.7142857142857142,187.57142857142858,4499.37981269511,661
2021-08-27,826.3017689906347,21.450204121378793,81.02809573361081,2.5681581685744015,1074.5306971904267,114.87200832466182,49.76066597294484,0.0,226.42857142857142,4499.37981269511,678
2021-09-03,731.5111111111111,19.422418047327366,90.29777777777778,2.657777777777778,985.6933333333333,107.24444444444445,53.977777777777774,11.285714285714286,131.57142857142858,4640.613333333333,703
2021-09-10,731.5111111111111,17.39463197327593,90.29777777777778,2.657777777777778,985.6933333333333,107.24444444444445,53.977777777777774,9.428571428571429,82.14285714285714,4640.613333333333,732
2021-09-17,731.5111111111111,14.66320998502235,90.29777777777778,2.657777777777778,985.6933333333333,107.24444444444445,53.977777777777774,11.142857142857142,107.57142857142857,4640.613333333333,751
2021-09-24,731.5111111111111,10.125179223187514,90.29777777777778,2.657777777777778,985.6933333333333,107.24444444444445,53.977777777777774,20.714285714285715,89.85714285714286,4640.613333333333,779
2021-10-01,654.2601456815817,5.587148461352687,93.51508844953173,2.5681581685744015,931.729448491155,108.44953173777316,72.94068678459936,72.71428571428571,30.0,4549.169614984392,810
2021-10-08,654.2601456815817,1.0491176995178542,93.51508844953173,2.5681581685744015,931.729448491155,108.44953173777316,72.94068678459936,49.714285714285715,54.42857142857143,4549.169614984392,834
2021-10-15,654.2601456815817,-3.3869147123708627,93.51508844953173,2.5681581685744015,931.729448491155,108.44953173777316,72.94068678459936,33.142857142857146,43.285714285714285,4549.169614984392,862
2021-10-22,654.2601456815817,-5.4549031812924325,93.51508844953173,2.5681581685744015,931.729448491155,108.44953173777316,72.94068678459936,124.71428571428571,18.285714285714285,4549.169614984392,885
2021-10-29,654.2601456815817,-7.522891650214008,93.51508844953173,2.5681581685744015,931.729448491155,108.44953173777316,72.94068678459936,197.42857142857142,11.714285714285714,4549.169614984392,899
2021-11-05,562.6711111111111,-9.590880119135578,175.25333333333336,2.657777777777778,1063.6577777777777,120.46666666666667,202.6177777777778,299.2857142857143,4.285714285714286,4758.133333333333,897
2021-11-12,562.6711111111111,-11.658868588057143,175.25333333333336,2.657777777777778,1063.6577777777777,120.46666666666667,202.6177777777778,275.57142857142856,2.4285714285714284,4758.133333333333,900
2021-11-19,562.6711111111111,-13.019745100498445,175.25333333333336,2.657777777777778,1063.6577777777777,120.46666666666667,202.6177777777778,352.42857142857144,3.142857142857143,4758.133333333333,889
2021-11-26,562.6711111111111,-14.12282422554859,175.25333333333336,2.657777777777778,1063.6577777777777,120.46666666666667,202.6177777777778,442.2857142857143,2.7142857142857144,4758.133333333333,867
2021-12-03,550.7263267429761,-15.225903350598733,192.62851196670132,2.5681581685744015,1146.9261186264307,111.77107180020812,289.2320499479709,451.7142857142857,0.0,4678.526534859521,843
2021-12-10,550.7263267429761,-16.32898247564888,192.62851196670132,2.5681581685744015,1146.9261186264307,111.77107180020812,289.2320499479709,447.14285714285717,3.5714285714285716,4678.526534859521,818
2021-12-17,550.7263267429761,-16.62917492077849,192.62851196670132,2.5681581685744015,1146.9261186264307,111.77107180020812,289.2320499479709,335.85714285714283,6.428571428571429,4678.526534859521,809
2021-12-24,550.7263267429761,-16.214186665391523,192.62851196670132,2.5681581685744015,1146.9261186264307,111.77107180020812,289.2320499479709,502.85714285714283,4.0,4678.526534859521,777
2021-12-31,550.7263267429761,-15.79988951822589,192.62851196670132,2.5681581685744015,1146.9261186264307,111.77107180020812,289.2320499479709,363.0,5.428571428571429,4678.526534859521,767
2022-01-07,591.9875130072841,-16.712684166117857,245.36108220603538,3.1925078043704476,1342.6347554630595,127.47138397502603,374.62226847034344,478.7142857142857,6.571428571428571,4521.1446409989585,730
2022-01-14,591.9875130072841,-16.35635425088018,245.36108220603538,3.1925078043704476,1342.6347554630595,127.47138397502603,374.62226847034344,622.7142857142857,2.0,4521.1446409989585,669
2022-01-21,591.9875130072841,-14.467199887323284,245.36108220603538,3.1925078043704476,1342.6347554630595,127.47138397502603,374.62226847034344,671.1428571428571,0.14285714285714285,4521.1446409989585,609
2022-01-28,591.9875130072841,-12.57804552376638,245.36108220603538,3.1925078043704476,1342.6347554630595,127.47138397502603,374.62226847034344,713.5714285714286,0.2857142857142857,4521.1446409989585,541
