period,NG_Power_Gen,NG_Seasonal_Power_Gen,NG_Commercial_Usage,NG_Vehicle_Fuel_Usage,NG_Delivery_Usage,NG_Industrial_Usage,NG_Residential_Usage,Heating_Days,Cooling_Days,NG_Gross_Withdrawls,EAST_NG_Storage_BCF,Storage_t1,Storage_t2,Storage_4Wk_Avg,Heating_Days_4Wk_Avg,Cooling_Days_4Wk_Avg
2021-10-01,654.2601456815817,5.587148461352687,93.51508844953172,2.568158168574401,931.729448491155,108.44953173777316,72.94068678459936,72.71428571428571,30.0,4549.169614984392,810,779.0,751.0,768.0,28.5,77.39285714285714
2021-10-08,654.2601456815817,1.0491176995178542,93.51508844953172,2.568158168574401,931.729448491155,108.44953173777316,72.94068678459936,49.71428571428572,54.42857142857143,4549.169614984392,834,810.0,779.0,793.5,38.57142857142857,70.46428571428571
2021-10-15,654.2601456815817,-3.3869147123708627,93.51508844953172,2.568158168574401,931.729448491155,108.44953173777316,72.94068678459936,33.142857142857146,43.285714285714285,4549.169614984392,862,834.0,810.0,821.25,44.07142857142857,54.392857142857146
2021-10-22,654.2601456815817,-5.4549031812924325,93.51508844953172,2.568158168574401,931.729448491155,108.44953173777316,72.94068678459936,124.71428571428572,18.285714285714285,4549.169614984392,885,862.0,834.0,847.75,70.07142857142857,36.5
2021-10-29,654.2601456815817,-7.522891650214008,93.51508844953172,2.568158168574401,931.729448491155,108.44953173777316,72.94068678459936,197.42857142857144,11.714285714285714,4549.169614984392,899,885.0,862.0,870.0,101.25,31.928571428571427
2021-11-05,562.6711111111111,-9.590880119135578,175.25333333333336,2.657777777777778,1063.6577777777777,120.46666666666668,202.6177777777778,299.2857142857143,4.285714285714286,4758.133333333333,897,899.0,885.0,885.75,163.64285714285717,19.392857142857142
2021-11-12,562.6711111111111,-11.658868588057144,175.25333333333336,2.657777777777778,1063.6577777777777,120.46666666666668,202.6177777777778,275.57142857142856,2.4285714285714284,4758.133333333333,900,897.0,899.0,895.25,224.25,9.178571428571429
2021-11-19,562.6711111111111,-13.019745100498444,175.25333333333336,2.657777777777778,1063.6577777777777,120.46666666666668,202.6177777777778,352.42857142857144,3.142857142857143,4758.133333333333,889,900.0,897.0,896.25,281.17857142857144,5.392857142857142
2021-11-26,562.6711111111111,-14.12282422554859,175.25333333333336,2.657777777777778,1063.6577777777777,120.46666666666668,202.6177777777778,442.2857142857143,2.7142857142857144,4758.133333333333,867,889.0,900.0,888.25,342.3928571428571,3.142857142857143
2021-12-03,550.7263267429761,-15.225903350598731,192.62851196670127,2.568158168574401,1146.9261186264307,111.77107180020812,289.2320499479709,451.7142857142857,0.0,4678.526534859521,843,867.0,889.0,874.75,380.5,2.071428571428571
